Urchin_metamorphosis.csv,Block,Number,Jar,Start_time,Start_date,Type,Treated_species,Species_gen_code,Cor_type,Species_genetic_only,Species_genetic,Morpho_species,Genus,Species_code,Recorder,Date,Time_period,Time,Coralline_area,Meta_coralline,Meta_jar,Meta_undergoing,Free_swimming,Notes,Total_urchins,Swabbing
middle,I,7,I07,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI07,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Nathan Duifhuis,2021-02-28,24hrs,13:11,1.866,5,0,3,7,,15,
middle,I,7,I07,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI07,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-03-01,48hrs,14:54,1.866,4,3,3,6,,16,
middle,K,6,K06,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK06,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Danielle Lacasse,2021-02-28,24hrs,13:40,2.167,2,1,3,6,,12,
middle,K,6,K06,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK06,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Tereno Johson,2021-03-01,48hrs,15:36,2.167,3,2,2,9,,16,
bottom,M,14,M14,11:11:00 AM,2021-02-27,Untreated,no,BAT-urchinM14,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Danielle Lacasse,2021-02-28,24hrs,14:29,4.412,5,0,2,11,,18,
bottom,M,14,M14,11:11:00 AM,2021-02-27,Untreated,no,BAT-urchinM14,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Stefanie Duff,2021-03-01,48hrs,16:32,4.412,5,7,6,3,,21,
top,C,4,C04,10:08:00 AM,2021-02-27,Untreated,no,BAT-urchinC04,Crustose Coralline,Crusticorallina adhaerens,Crusticorallina adhaerens,Crusticorallina sp2,Crusticorallina,Crust2,Danielle Lacasse,2021-02-28,24hrs,10:47,3.114,6,3,3,8,3 fell of algae when moved,20,
top,C,4,C04,10:08:00 AM,2021-02-27,Untreated,no,BAT-urchinC04,Crustose Coralline,Crusticorallina adhaerens,Crusticorallina adhaerens,Crusticorallina sp2,Crusticorallina,Crust2,Tereno Johson,2021-03-01,48hrs,10:38,3.114,3,2,0,14,,19,
top,A,2,A02,9:40:00 AM,2021-02-27,Untreated,no,BAT-urchinA02,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Joel Filgate-McNabb,2021-02-28,24hrs,9:44,2.992,4,0,0,9,2 cat1 on algae,13,
top,A,2,A02,9:40:00 AM,2021-02-27,Untreated,no,BAT-urchinA02,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Tereno Johson,2021-03-01,48hrs,9:11,2.992,4,3,2,10,,19,
